INLINE NewItemTable,Name,Description,Use Desc,ID,Type,Ability1,Ability2,Ability3,Ability4,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
AirSlash,AirSlashName,AirSlashDesc,0x00,0xC8,FlyingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FlyingAdv|IsPointer,0x01,T3Spec_Mt-2,85,1,0,0x22,7500,0x00,FlyingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Wing Attack,WingAttackName,WingAttackDesc,0x00,0xC9,FlyingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FlyingAdv|IsPointer,0x01,T2Phys_Mt-1,75,1,0,0x11,4000,0x00,FlyingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Focus Energy,FocusEnergyName,FocusEnergyDesc,0x00,0xCA,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,0,85,1,0,0x22,2500,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Confusion,ConfusionName,ConfusionDesc,0x00,0xCB,PsychicTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,T1Spec_Mt+1,90,1,0,0x22,2500,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
UNUSED,DreamEaterName,DreamEaterDesc,0x00,0xCC,PsychicTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,T2Spec_Mt,50,1,0,0x22,2500,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,AbsorbID
Hypnosis,HypnosisName,HypnosisDesc,0x00,0xCD,PsychicTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,0,50,1,0,0x22,5000,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Light Screen,LightScreenName,LightScreenDesc,0x00,0xCE,PsychicTypeWep,Indestructible,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,0,70,1,0,0x11,5000,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Reflect,ReflectName,ReflectDesc,0x00,0xCF,PsychicTypeWep,Indestructible,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,0,70,1,0,0x11,5000,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Psybeam,PsybeamName,PsybeamDesc,0x00,0xD0,PsychicTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,T2Spec_Mt,90,1,0,0x22,6500,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Psychic,PsychicName,PsychicDesc,0x00,0xD1,PsychicTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,T3Spec_Mt,90,1,0,0x22,10000,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Rest,RestName,RestDesc,0x00,0xD2,PsychicTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,0,100,1,0,0x11,5000,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Tailwind,TailwindName,TailwindDesc,0x00,0xD3,FlyingTypeWep,Indestructible,0x00,0x00,0x00,0x00,PsychicAdv|IsPointer,0x01,0,100,1,0,0x11,5000,0x00,PsychicTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Rock Slide,RockSlideName,RockSlideDesc,0x00,0xD4,RockTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,RockAdv|IsPointer,0x01,T2Phys_Mt,80,1,0,0x11,7500,0x00,RockTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Rock Throw,RockThrowName,RockThrowDesc,0x00,0xD5,RockTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,RockAdv|IsPointer,0x01,T1Phys_Mt+1,80,1,0,0x11,5500,0x00,RockTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Ancientpower,AncientpowerName,AncientpowerDesc,0x00,0xD6,RockTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,RockAdv|IsPointer,0x01,T2Spec_Mt,85,1,0,0x22,6500,0x00,RockTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Rock Tomb,RockTombName,RockTombDesc,0x00,0xD7,RockTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,RockAdv|IsPointer,0x01,T1Phys_Mt,85,1,0,0x11,3000,0x00,RockTypeIcon,0x0,NoEffect,0,WeakSpeedDebuff,0x0,0x00
Rollout,RolloutName,RolloutDesc,0x00,0xD8,RockTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,RockAdv|IsPointer,0x01,T2Phys_Mt,85,1,0,0x11,4000,0x00,RockTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Wish,WishName,WishDesc,0x00,0xD9,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,RockAdv|IsPointer,0x01,0,100,1,0,0x11,2500,0x00,RockTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Confuse Ray,ConfuseRayName,ConfuseRayDesc,0x00,0xDA,GhostTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GhostAdv|IsPointer,0x01,T1Spec_Mt-2,70,1,0,0x22,1600,0x00,GhostTypeIcon,0x0,NoEffect,0,0x00,0x0,EnrageID
Lick,LickName,LickDesc,0x00,0xDB,GhostTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GhostAdv|IsPointer,0x01,T1Spec_Mt-2,90,1,0,0x11,1600,0x00,GhostTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Night Shade,NightShadeName,NightShadeDesc,0x00,0xDC,GhostTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GhostAdv|IsPointer,0x01,T2Debuff_Mt,100,1,0,0x12,4000,0x00,GhostTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Nightmare,NightmareName,NightmareDesc,0x00,0xDD,GhostTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GhostAdv|IsPointer,0x01,0,70,1,0,0x11,2500,0x00,GhostTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Shadow Ball,ShadowBallName,ShadowBallDesc,0x00,0xDE,GhostTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GhostAdv|IsPointer,0x01,T3Spec_Mt,90,1,0,0x22,10000,0x00,GhostTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Shadow Punch,ShadowPunchName,ShadowPunchDesc,0x00,0xDF,GhostTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GhostAdv|IsPointer,0x01,T2Phys_Mt,100,1,0,0x11,7500,0x00,GhostTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Hex,HexName,HexDesc,0x00,0xE0,GhostTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GhostAdv|IsPointer,0x01,T2Phys_Mt,100,1,0,0x22,8000,0x00,GhostTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Dragon Claw,DragonClawName,DragonClawDesc,0x00,0xE1,DragonTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,DragonAdv|IsPointer,0x01,T3Phys_Mt-1,90,1,0,0x11,8000,0x00,DragonTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Dragon Rage,DragonRageName,DragonRageDesc,0x00,0xE2,DragonTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,DragonAdv|IsPointer,0x01,20,80,1,0,0x11,4000,0x00,DragonTypeIcon,0x0,CannotDouble,0,0x00,0x0,0x00
Dragonbreath,DragonbreathName,DragonbreathDesc,0x00,0xE3,DragonTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,DragonAdv|IsPointer,0x01,T2Spec_Mt,90,1,0,0x22,4500,0x00,DragonTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Outrage,OutrageName,OutrageDesc,0x00,0xE4,DragonTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,DragonAdv|IsPointer,0x01,T3Phys_Mt+3,90,1,0,0x11,12500,0x00,DragonTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Twister,TwisterName,TwisterDesc,0x00,0xE5,DragonTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,DragonAdv|IsPointer,0x01,T1Spec_Mt,90,1,0,0x22,2500,0x00,DragonTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Bug Bite,BugBiteName,BugBiteDesc,0x00,0xE6,BugTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,BugAdv|IsPointer,0x01,T2Phys_Mt,85,1,0,0x11,4500,0x00,BugTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Bug Buzz,BugBuzzName,BugBuzzDesc,0x00,0xE7,BugTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,BugAdv|IsPointer,0x01,T3Spec_Mt-1,90,1,0,0x22,8000,0x00,BugTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Fury Cutter,FuryCutterName,FuryCutterDesc,0x00,0xE8,BugTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,BugAdv|IsPointer,0x01,T1Phys_Mt,75,1,0,0x11,2500,0x00,BugTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Leech Life,LeechLifeName,LeechLifeDesc,0x00,0xE9,BugTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,BugAdv|IsPointer,0x01,T1Phys_Mt+1,75,1,0,0x11,2500,0x00,BugTypeIcon,0x0,NoEffect,0,0x00,0x0,AbsorbID
Megahorn,MegahornName,MegahornDesc,0x00,0xEA,BugTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,BugAdv|IsPointer,0x01,T3Phys_Mt+2,65,1,0,0x11,12500,0x00,BugTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Pin Missile,PinMissileName,PinMissileDesc,0x00,0xEB,BugTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,BugAdv|IsPointer,0x01,T1Phys_Mt-2,75,1,0,0x11,4000,0x00,BugTypeIcon,0x0,CannotDouble,0,0x00,0x0,MultiHitID
Signal Beam,SignalBeamName,SignalBeamDesc,0x00,0xEC,BugTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,BugAdv|IsPointer,0x01,T2Spec_Mt,85,1,0,0x22,5000,0x00,BugTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
String Shot,StringShotName,StringShotDesc,0x00,0xED,BugTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,BugAdv|IsPointer,0x01,T1Debuff_Mt,85+5,1,0,0x12,1000,0x00,BugTypeIcon,0x0,NoEffect,0,WeakSpeedDebuff,0x0,0x00
U-Turn,UTurnName,UTurnDesc,0x00,0xEE,BugTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,BugAdv|IsPointer,0x01,T2Phys_Mt,70,1,0,0x11,7500,0x00,BugTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
X-Scissor,XScissorName,XScissorDesc,0x00,0xEF,BugTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,BugAdv|IsPointer,0x01,T3Phys_Mt-1,90,1,0,0x11,8000,0x00,BugTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Thief,ThiefName,ThiefDesc,0x00,0xF0,DarkTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,DarkAdv|IsPointer,0x01,T1Phys_Mt+2,90,1,0,0x11,2500,0x00,DarkTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
NightSlash,NightSlashName,NightSlashDesc,0x00,0xF1,DarkTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,DarkAdv|IsPointer,0x01,T3Phys_Mt-2,90,1,30,0x11,7500,0x00,DarkTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
DarkPulse,DarkPulseName,DarkPulseDesc,0x00,0xF2,DarkTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,DarkAdv|IsPointer,0x01,T3Spec_Mt,90,1,0,0x22,8000,0x00,DarkTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
NightDaze,NightDazeName,NightDazeDesc,0x00,0xF3,DarkTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,DarkAdv|IsPointer,0x01,T2Spec_Mt,125,1,0,0x22,4500,0x00,DarkTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Bite,BiteName,BiteDesc,0x00,0xF4,DarkTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,DarkAdv|IsPointer,0x01,T1Phys_Mt,85,1,0,0x11,2500,0x00,DarkTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Snarl,SnarlName,SnarlDesc,0x00,0xF5,DarkTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,DarkAdv|IsPointer,0x01,T1Debuff_Mt,85,1,0,0x12,2500,0x00,DarkTypeIcon,0x0,NoEffect,0,WeakMagDebuff,0x0,0x00
DryingPan,DryingPanText,DryingPanDesc,DryingPanDesc,0xF6,ItemType,Indestructible,0x00,IsAccessory,0x00,0x00,0x00,0x01,0x0,0x00,0x00,0x00,0x11,2000,0x00,DryingPanIcon,0x0,NoEffect,0,0x00,0x0,0x00
SkillScroll,0xFFFF,0xFFFF,PressRSkillDetails,0xF7,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0xFE,0x00,0x00,0x00,0x11,5000,0x00,0xDC,0x38,NoEffect,0,0x00,0x0,0x00
SpellScroll,0xFFFE,0xFFFE,PressRSpellDetails,0xF8,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0xFE,0x00,0x00,0x00,0x11,5000,0x00,0xDC,0x3a,NoEffect,0,0x00,0x0,0x00
ThreeRangeWep,0x0354,0x0409,WiseGlassesUseDesc,0xF9,NormalTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,0x00,0x01,25,90,0x00,0x00,0x13,2000,0x00,WiseGlassesIcon,0x0,NoEffect,0,0x00,0x0,0x00
SevenRangeWep,0x0354,0x0409,BlackbeltDescText,0xFA,NormalTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,0x00,0x01,25,90,0x00,0x00,0x17,2000,0x00,BlackbeltIcon,0x0,NoEffect,0,0x00,0x0,0x00
StatAccessory,0xFFFD,0xFFFD,StatBoostAccessoryHelpText,0xFB,ItemType,Indestructible,0x00,IsAccessory,0x00,0x00,0x00,0x3F,AE_NormalShield,0x00,0x00,0x00,0x11,2500,0x00,MuscleBandIcon,0x0,NoEffect,0,0x00,0x0,0x00
SkillAccOne,0xFFFC,0xFFFC,SkillAccessoryHelpText,0xFC,ItemType,Indestructible,0x00,IsAccessory,0x00,0x00,0x00,0x3F,AE_Skill,0x00,0x00,0x00,0x11,5000,0x00,QuickClawIcon,0x0,NoEffect,0,0x00,0x0,0x00
SkillAccTwo,0xFFFB,0xFFFB,SkillAccessoryHelpText,0xFD,ItemType,Indestructible,0x00,IsAccessory,0x00,0x00,0x00,0x3F,AE_Skill,0x00,0x00,0x00,0x11,5000,0x00,QuickClawIcon,0x0,NoEffect,0,0x00,0x0,0x00
SkillAccThree,0xFFFA,0xFFFA,SkillAccessoryHelpText,0xFE,ItemType,Indestructible,0x00,IsAccessory,0x00,0x00,0x00,0x3F,AE_Skill,0x00,0x00,0x00,0x11,5000,0x00,QuickClawIcon,0x0,NoEffect,0,0x00,0x0,0x00
SkillAccFour,0xFFF9,0xFFF9,SkillAccessoryHelpText,0xFF,ItemType,Indestructible,0x00,IsAccessory,0x00,0x00,0x00,0x3F,AE_Skill,0x00,0x00,0x00,0x11,5000,0x00,QuickClawIcon,0x0,NoEffect,0,0x00,0x0,0x00
