0x807110	Name	Details	ID	Menu Class	Standing Map Anims	Movement Speed	Generic Enemy Portrait	Sort Order	HP	POW	SKL	SPD	DEF	RES	CON	MOVE	HP	POW	SKL	SPD	DEF	RES	CON	Relative Power	HP	POW	SKL	SPD	DEF	RES	LUK	HP	POW	SKL	SPD	DEF	RES	Ability 1	Ability 2	Ability 3	Ability 4	Sword	Lance	Axe	Bow	Staff	Anima	Light	Dark	P52	P56	P60	P64	P68	P72	P76	???
6B 	0x00	0x00	0x6B	0x00	0x5C	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80C479	0x80C4BA	0x80C4FB	0x00
6C 	0x00	0x00	0x6C	0x00	0x5D	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80C479	0x80C4BA	0x80C4FB	0x00
6D Civilian	0x0305	0x0351	0x6D	0x00	0x5E	0x01	0x5E	0x00	0x08	0x01	0x00	0x00	0x00	0x00	0x04	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
6E Civilian	0x0305	0x0351	0x6E	0x00	0x5F	0x01	0x63	0x00	0x07	0x00	0x00	0x00	0x00	0x01	0x03	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
6F Civilian	0x0305	0x0351	0x6F	0x00	0x60	0x01	0x59	0x00	0x0A	0x00	0x01	0x00	0x00	0x02	0x06	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
70 Civilian	0x0305	0x0351	0x70	0x00	0x61	0x01	0x62	0x00	0x09	0x00	0x01	0x00	0x00	0x01	0x04	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
71 Civilian	0x0305	0x0351	0x71	0x00	0x60	0x01	0x5C	0x00	0x0C	0x03	0x00	0x00	0x02	0x00	0x07	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
72 Civilian	0x0305	0x0351	0x72	0x00	0x61	0x01	0x61	0x00	0x0A	0x00	0x01	0x00	0x01	0x01	0x05	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
73	0x00	0x00	0x73	0x00	0x62	0x01	0x01	0x00	0x0A	0x00	0x00	0x00	0x00	0x00	0x08	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
74 Queen	0x0307	0x0353	0x74	0x00	0x63	0x01	0x01	0x00	0x0A	0x00	0x00	0x00	0x00	0x00	0x05	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
75	0x00	0x00	0x75	0x00	0x64	0x01	0x01	0x00	0x0A	0x00	0x00	0x00	0x00	0x00	0x07	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
76 Queen	0x0307	0x0353	0x76	0x00	0x65	0x01	0x01	0x00	0x0A	0x00	0x00	0x00	0x00	0x00	0x06	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
77	0x00	0x00	0x77	0x00	0x66	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80C479	0x80C4BA	0x80C4FB	0x00
78	0x00	0x00	0x78	0x00	0x67	0x01	0x01	0x00	0x0A	0x00	0x00	0x00	0x00	0x00	0x19	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
79	0x00	0x00	0x79	0x00	0x68	0x01	0x01	0x00	0x0F	0x00	0x03	0x03	0x03	0x00	0x19	0x00	0x3C	0x14	0x14	0x14	0x14	0x14	0x19	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x02	0x10	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
7A Pontifex	0x0306	0x0352	0x7A	0x00	0x69	0x01	0x01	0x00	0x0A	0x00	0x00	0x00	0x00	0x00	0x08	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
7B 	0x00	0x00	0x7B	0x00	0x6A	0x01	0x01	0x00	0x0A	0x00	0x00	0x00	0x00	0x00	0x19	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	30	20	20	20	20	30	30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80BA51	0x80BEA2	0x80C2B2	0x80C479	0x80C4BA	0x80C4FB	0x00
7C Cyclops	0x02F8	0x0344	0x7C	0x09	0x4B	0x00	0x9F	0x00	0x28	0x08	0x05	0x06	0x0D	0x00	0x10	0x05	0x50	0x1D	0x1D	0x1C	0x1E	0x19	0x19	0x03	115	50	55	45	44	45	115	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0xFB	0x00	0x00	0x00	0x00	0x00	0x8AF6A4	0x80B8CB	0x80BD1C	0x80C12C	0x80C479	0x80C4BA	0x80C4FB	0x00
7D Elder Bael	0x02F7	0x0343	0x7D	0x58	0x4A	0x00	0x9E	0x00	0x24	0x08	0x05	0x05	0x09	0x04	0x0F	0x06	0x50	0x1E	0x1C	0x1A	0x1A	0x16	0x19	0x03	105	65	45	40	41	37	105	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF6BC	0x80B94D	0x80BD9E	0x80C1AE	0x80C479	0x80C4BA	0x80C4FB	0x0880C5FF
7E Journeyman	0x02D8	0x0324	0x7E	0x38	0x2D	0x00	0x74	0x27	0x14	0x05	0x03	0x04	0x02	0x01	0x08	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	105	75	60	52	38	40	105	0x02	0x00	0x02	0x00	0x02	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x8AF6C8	0x80B8CB	0x80BD1C	0x80C12C	0x80C479	0x80C4BA	0x80C4FB	0x00
7F Pupil	0x02D9	0x0325	0x7F	0x39	0x2E	0x00	0x7C	0x29	0x11	0x02	0x03	0x03	0x03	0x03	0x05	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	75	75	60	55	30	50	75	0x02	0x01	0x01	0x00	0x02	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x8AF6E0	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
