INLINE NewClassTable,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,CharClassAbility,CharClassAbility,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
DemonKingID,NSlashAText,NSlashAText,0x66,0x0,DemonKingSMS,0x00,0x00,0x66,16,1,1,1,1,1,25,1,35,15,20,15,15,15,25,5,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
lassID,NSlashAText,NSlashAText,0x67,0x0,lassSMS,0x00,0x00,0x67,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
picnickerID,NSlashAText,NSlashAText,0x68,0x0,picnickerSMS,0x00,0x00,0x68,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
policemanID,NSlashAText,NSlashAText,0x69,0x0,policemanSMS,0x00,0x00,0x69,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
prof_oakID,NSlashAText,NSlashAText,0x6A,0x0,prof_oakSMS,0x00,0x00,0x6A,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
rockerID,NSlashAText,NSlashAText,0x6B,0x0,rockerSMS,0x00,0x00,0x6B,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
rocket_fID,NSlashAText,NSlashAText,0x6C,0x0,rocket_fSMS,0x00,0x00,0x6C,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
rocket_mID,NSlashAText,NSlashAText,0x6D,0x0,rocket_mSMS,0x00,0x00,0x6D,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
sailorID,NSlashAText,NSlashAText,0x6E,0x0,sailorSMS,0x00,0x00,0x6E,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
scientistID,NSlashAText,NSlashAText,0x6F,0x0,scientistSMS,0x00,0x00,0x6F,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
super_nerdID,NSlashAText,NSlashAText,0x70,0x0,super_nerdSMS,0x00,0x00,0x70,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
BurrowID,NSlashAText,NSlashAText,0x71,0x0,BurrowSMS,0x00,0x00,0x71,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
FlowerID,NSlashAText,NSlashAText,0x72,0x0,FlowerSMS,0x00,0x00,0x72,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
BerryTreeID,NSlashAText,NSlashAText,0x73,0x0,BerryTreeSMS,0x00,0x00,0x73,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
sfxID,NSlashAText,NSlashAText,0x74,0x0,sfxSMS,0x00,0x00,0x74,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
OpenBallID,NSlashAText,NSlashAText,0x75,0x0,OpenBallSMS,0x00,0x00,0x75,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
RedPokeballID,NSlashAText,NSlashAText,0x76,0x0,RedPokeballSMS,0x00,0x00,0x76,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
GoldPokeballID,NSlashAText,NSlashAText,0x77,0x0,GoldPokeballSMS,0x00,0x00,0x77,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
GaryID,NSlashAText,NSlashAText,0x78,0x0,GarySMS,0x00,0x00,0x78,16,1,1,1,1,1,25,TrainerMov+2,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
PlatformID,NSlashAText,NSlashAText,0x79,0x0,PlatformSMS,0x00,0x00,0x79,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
BlankID,NSlashAText,NSlashAText,0x7A,0x0,BlankSMS,0x00,0x00,0x7A,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
SavePointID,NSlashAText,NSlashAText,0x7B,0x0,SavePointSMS,0x00,0x00,0x7B,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
BushID,NSlashAText,NSlashAText,0x7C,0x0,BushSMS,0x00,0x00,0x7C,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x800
SignID,NSlashAText,NSlashAText,0x7D,0x0,SignSMS,0x00,0x00,0x7D,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
Sign2ID,NSlashAText,NSlashAText,0x7E,0x0,Sign2SMS,0x00,0x00,0x7E,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
CoinsID,NSlashAText,NSlashAText,0x7F,0x0,CoinsSMS,0x00,0x00,0x7F,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,5,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,0x00,0x00,0x00,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
MukID,0x10B0,0x102D,0x80,0x0,MukSMS,0x00,0x59,0x80,26,14,9,3,5,7,12,BaseMov+2,75,50,50,30,40,45,25,4,85,65,50,25,30,50,20,3,5,4,2,3,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim89|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x10
ShellderID,0x10B2,0x10AB,0x81,0x0,ShellderSMS,0x00,0x5A,0x81,17,6,3,2,5,0,7,BaseMov+1,45,35,35,25,40,10,25,3,50,35,35,25,60,5,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim90|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
CloysterID,0x10B4,0x10AB,0x82,0x0,CloysterSMS,0x00,0x5B,0x82,21,10,8,4,12,1,13,BaseMov+2,60,45,50,35,60,15,25,4,65,60,45,25,90,10,20,4,4,5,2,7,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim91|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x1002
GastlyID,0x10B6,0x10B7,0x83,0x0,GastlySMS,0x00,0x5C,0x83,18,2,3,5,1,1,1,BaseMov+1,50,20,35,35,10,20,25,3,55,15,35,65,5,15,20,0,0,0,1,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim92|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0110
HaunterID,0x10B8,0x10B7,0x84,0x0,HaunterSMS,0x00,0x5D,0x84,21,5,6,7,1,3,7,BaseMov+2,60,35,40,45,15,30,25,4,65,35,40,60,10,25,20,3,3,3,2,0,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim93|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0110
GengarID,0x10BA,0x10B7,0x85,0x0,GengarSMS,0x00,0x5E,0x85,24,8,9,10,2,5,11,BaseMov+2,65,45,50,50,25,40,25,5,75,55,50,65,15,35,20,3,3,3,3,1,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim94|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0110
OnixID,0x10BC,0x1093,0x86,0x0,OnixSMS,0x00,0x5F,0x86,21,9,5,6,8,0,22,BaseMov+2,60,45,40,40,55,10,25,4,65,55,40,50,75,5,20,0,1,0,0,6,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim95|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0xA0
DrowzeeID,0x10BE,0x107D,0x87,0x0,DrowzeeSMS,0x00,0x60,0x87,19,5,4,1,2,4,8,BaseMov+1,50,35,35,20,25,35,25,3,60,30,40,15,25,45,20,0,0,0,0,0,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim96|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4000
HypnoID,0x10C0,0x107D,0x88,0x0,HypnoSMS,0x00,0x61,0x88,25,8,8,3,4,8,10,BaseMov+2,70,45,45,30,35,45,25,4,80,50,50,20,30,55,20,6,3,4,2,2,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim97|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4000
KrabbyID,0x10C2,0x100D,0x89,0x0,KrabbySMS,0x00,0x62,0x89,17,8,4,2,5,1,5,BaseMov+1,45,40,35,25,40,10,25,3,50,55,40,25,65,5,20,0,0,0,0,1,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim98|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
KinglerID,0x10C4,0x100D,0x8A,0x0,KinglerSMS,0x00,0x63,0x8A,23,15,8,4,9,2,12,BaseMov+2,65,50,45,40,50,20,25,4,70,70,50,30,65,10,20,6,7,4,2,4,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim99|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
VoltorbID,0x10C6,0x1031,0x8B,0x0,VoltorbSMS,0x00,160,0x8B,17,1,3,5,1,2,3,BaseMov+1,45,10,35,45,20,25,25,3,50,10,35,65,15,25,20,0,0,0,1,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim100|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x04
ElectrodeID,0x10C8,0x1031,0x8C,0x0,ElectrodeSMS,0x00,161,0x8C,21,3,7,12,3,5,8,BaseMov+2,60,20,50,60,25,40,25,4,65,25,45,90,20,35,20,4,2,4,7,2,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim101|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x04
ExeggcuteID,0x10CA,0x10CB,0x8D,0x0,ExeggcuteSMS,0x00,162,0x8D,19,4,4,1,3,2,4,BaseMov+1,50,35,35,20,35,25,25,3,60,30,35,15,40,20,20,0,1,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim102|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4800
ExeggutorID,0x10CC,0x10CB,0x8E,0x0,ExeggutorSMS,0x00,163,0x8E,28,10,9,2,6,5,21,BaseMov+2,75,50,50,25,45,40,25,4,90,60,50,15,40,30,20,9,6,5,1,3,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim103|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4800
CuboneID,0x10CE,0x1035,0x8F,0x0,CuboneSMS,0x00,164,0x8F,19,6,4,1,5,1,7,BaseMov+1,50,35,35,20,40,20,25,3,60,35,40,15,65,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim104|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
MarowakID,0x10D0,0x1035,0x90,0x0,MarowakSMS,0x00,0x69,0x90,21,9,7,2,9,3,11,BaseMov+2,60,45,45,25,50,35,25,4,65,55,45,20,75,25,20,2,3,3,1,4,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim105|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
HitmonleeID,0x10D2,0x106F,0x91,0x0,HitmonleeSMS,0x00,0x6A,0x91,21,13,8,6,2,8,12,BaseMov+2,60,50,45,45,25,45,25,4,65,65,50,50,20,65,20,0,4,1,4,0,5,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim106|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x08
HitmonchanID,0x10D4,0x106F,0x92,0x0,HitmonchanSMS,0x00,0x6B,0x92,21,11,8,5,5,7,12,BaseMov+2,60,45,45,40,40,45,25,4,65,60,50,35,40,55,20,0,0,0,0,3,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim107|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x08
LickitungID,0x10D6,0x1025,0x93,0x0,LickitungSMS,0x00,0x6C,0x93,26,13,8,1,7,7,13,BaseMov+2,75,50,45,10,45,45,25,4,85,60,50,5,50,50,20,5,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim108|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
KoffingID,0x10D8,0x102D,0x94,0x0,KoffingSMS,0x00,0x6D,0x94,19,7,5,1,6,2,3,BaseMov+1,55,40,40,15,40,30,25,3,60,45,40,10,55,25,20,0,0,0,0,1,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim109|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x10
WeezingID,0x10DA,0x102D,0x95,0x0,WeezingSMS,0x00,0x6E,0x95,24,10,8,2,9,4,11,BaseMov+2,65,45,50,25,50,35,25,4,75,55,50,15,60,25,20,5,3,3,1,3,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim110|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x10
RhyhornID,0x10DC,0x1093,0x96,0x0,RhyhornSMS,0x00,0x6F,0x96,23,7,4,0,5,1,10,BaseMov+1,60,40,35,10,40,15,25,3,80,45,35,5,65,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim111|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0xA0
RhydonID,0x10DE,0x1093,0x97,0x0,RhydonSMS,0x00,0x70,0x97,28,15,8,2,10,2,21,BaseMov+2,75,55,45,20,50,20,25,4,95,75,50,10,85,10,20,5,8,4,2,5,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim112|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0xA0
ChanseyID,0x10E0,0x1025,0x98,0x0,ChanseySMS,0x00,0x71,0x98,34,0,5,5,0,8,11,BaseMov+2,99,10,40,40,10,45,25,4,135,5,40,45,0,75,20,6,0,0,3,0,6,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim113|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
TangelaID,0x10E2,0x10E3,0x99,0x0,TangelaSMS,0x00,0x72,0x99,20,3,5,3,8,1,12,BaseMov+2,55,25,40,30,50,15,25,4,60,30,40,25,75,10,20,0,3,0,0,8,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim114|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0800
